area_name,year_occ,total_crimes,date,police_count,crimes_per_police
77th Street,2020.0,168,2022-01-25,350,0.48
77th Street,2020.0,168,2022-04-06,311,0.5401929260450161
77th Street,2020.0,168,2022-04-25,340,0.49411764705882355
77th Street,2020.0,168,2022-05-03,340,0.49411764705882355
77th Street,2020.0,168,2022-08-22,339,0.49557522123893805
77th Street,2020.0,168,2023-01-13,335,0.5014925373134328
77th Street,2020.0,168,2024-08-13,335,0.5014925373134328
77th Street,2020.0,168,2024-09-27,296,0.5675675675675675
77th Street,2020.0,168,2025-04-15,314,0.535031847133758
Central,2020.0,95,2022-01-25,376,0.2526595744680851
Central,2020.0,95,2022-04-06,336,0.28273809523809523
Central,2020.0,95,2022-04-25,372,0.2553763440860215
Central,2020.0,95,2022-05-03,372,0.2553763440860215
Central,2020.0,95,2022-08-22,358,0.26536312849162014
Central,2020.0,95,2023-01-13,356,0.26685393258426965
Central,2020.0,95,2024-08-13,356,0.26685393258426965
Central,2020.0,95,2024-09-27,287,0.3310104529616725
Central,2020.0,95,2025-04-15,324,0.2932098765432099
Devonshire,2020.0,1998,2022-01-25,232,8.612068965517242
Devonshire,2020.0,1998,2022-04-06,210,9.514285714285714
Devonshire,2020.0,1998,2022-04-25,241,8.29045643153527
Devonshire,2020.0,1998,2022-05-03,241,8.29045643153527
Devonshire,2020.0,1998,2022-08-22,243,8.222222222222221
Devonshire,2020.0,1998,2023-01-13,234,8.538461538461538
Devonshire,2020.0,1998,2024-08-13,234,8.538461538461538
Devonshire,2020.0,1998,2024-09-27,191,10.460732984293193
Devonshire,2020.0,1998,2025-04-15,238,8.394957983193278
Foothill,2020.0,1806,2022-01-25,228,7.921052631578948
Foothill,2020.0,1806,2022-04-06,208,8.682692307692308
Foothill,2020.0,1806,2022-04-25,232,7.7844827586206895
Foothill,2020.0,1806,2022-05-03,232,7.7844827586206895
Foothill,2020.0,1806,2022-08-22,227,7.955947136563877
Foothill,2020.0,1806,2023-01-13,234,7.717948717948718
Foothill,2020.0,1806,2024-08-13,234,7.717948717948718
Foothill,2020.0,1806,2024-09-27,213,8.47887323943662
Foothill,2020.0,1806,2025-04-15,239,7.556485355648536
Harbor,2020.0,82,2022-01-25,269,0.3048327137546468
Harbor,2020.0,82,2022-04-06,240,0.3416666666666667
Harbor,2020.0,82,2022-04-25,256,0.3203125
Harbor,2020.0,82,2022-05-03,257,0.31906614785992216
Harbor,2020.0,82,2022-08-22,260,0.3153846153846154
